"mean.Disabled.Aged.Population." "mean.Total.Beds." "Grand.Total" "Administrators" "Nursing.Staff" "Social.Workers" "Serviceman" "Others"
"1" 24577 7371.66666666667 NA NA NA NA NA NA
"2" 4829 2685.33333333333 85.32 6.3 15.63 3.91 50.59 8.9
"3" 12558 2324 NA NA NA NA NA NA
"4" 6380.33333333333 1437 29.6 2.13 5.72 0.82 19.46 1.47
"5" 8651.66666666667 2188.66666666667 52.13 5.78 8.85 1.72 33.08 2.71
"6" 6526.33333333333 2052.33333333333 44.84 5.5 9.23 2.43 24.93 2.75
"7" 37659.3333333333 10080.6666666667 59.79 5.27 12.2 2.7 35.47 4.15
"8" 6867.33333333333 2428.33333333333 96.54 8.94 17.88 4.09 59.41 6.21
"9" 2084 294 43.43 4.99 7.49 2 23.46 5.49
"10" 171.666666666667 40.6666666666667 122.7 18.4 6.13 6.13 42.94 49.08
"11" 11243 1745.66666666667 30.82 2.38 5.23 1.33 20.74 1.14
"12" 10831.3333333333 2783.33333333333 37.54 3.54 5.99 2.16 21.42 4.42
"13" 60141.3333333333 17917 NA NA NA NA NA NA
"14" 2108.66666666667 294 12.13 2.53 3.03 0 6.06 0.51
"15" 17050.3333333333 5449.66666666667 55.79 6.45 11.1 1.74 32.36 4.15
"16" 38278 10543 35.81 3.31 6.62 1.54 24.33 0
"17" 38543.6666666667 12070 NA NA NA NA NA NA
"18" 55674.3333333333 7011 NA NA NA NA NA NA
"19" 4486.33333333333 1510.33333333333 81.45 10.48 11.43 4.05 46.68 8.81
"20" 411035.333333333 106490.333333333 NA NA NA NA NA NA
"21" 31697 8710 NA NA NA NA NA NA
"22" 14544.3333333333 4413.66666666667 NA NA NA NA NA NA
"23" 16132.3333333333 3140 49.86 4.44 8.29 1.79 31.56 3.78
