"Area" "mean(Disabled.Aged.Population)" "mean(Total.Beds)"
"1" "Changhua County  " 24577 7371.66666666667
"2" "Chiayi City" 4829 2685.33333333333
"3" "Chiayi County  " 12558 2324
"4" "Hsinchu City" 6380.33333333333 1437
"5" "Hsinchu County" 8651.66666666667 2188.66666666667
"6" "Hualien County" 6526.33333333333 2052.33333333333
"7" "Kaohsiung City" 37659.3333333333 10080.6666666667
"8" "Keelung City" 6867.33333333333 2428.33333333333
"9" "Kinmen County" 2084 294
"10" "Lienchiang County" 171.666666666667 40.6666666666667
"11" "Miaoli County" 11243 1745.66666666667
"12" "Nantou County" 10831.3333333333 2783.33333333333
"13" "New Taipei City " 60141.3333333333 17917
"14" "Penghu County" 2108.66666666667 294
"15" "Pingtung County" 17050.3333333333 5449.66666666667
"16" "Taichung City" 38278 10543
"17" "Tainan City " 38543.6666666667 12070
"18" "Taipei City " 55674.3333333333 7011
"19" "Taitung County" 4486.33333333333 1510.33333333333
"20" "Taiwan" 411035.333333333 106490.333333333
"21" "Taoyuan City" 31697 8710
"22" "Yilan County " 14544.3333333333 4413.66666666667
"23" "Yunlin County" 16132.3333333333 3140
