"Area" "mean(Proportion.of.Aged.Population)"
"1" "Changhua County  " 0.136666666666667
"2" "Chiayi City" 0.128
"3" "Chiayi County  " 0.173333333333333
"4" "Hsinchu City" 0.105333333333333
"5" "Hsinchu County" 0.114333333333333
"6" "Hualien County" 0.141333333333333
"7" "Kaohsiung City" 0.132666666666667
"8" "Keelung City" 0.132333333333333
"9" "Kinmen County" 0.113666666666667
"10" "Lienchiang County" 0.0983333333333333
"11" "Miaoli County" 0.143333333333333
"12" "Nantou County" 0.152666666666667
"13" "New Taipei City " 0.108666666666667
"14" "Penghu County" 0.148
"15" "Pingtung County" 0.145666666666667
"16" "Taichung City" 0.112666666666667
"17" "Tainan City " 0.129333333333333
"18" "Taipei City " 0.148333333333333
"19" "Taitung County" 0.144666666666667
"20" "Taiwan" 0.125666666666667
"21" "Taoyuan City" 0.099
"22" "Yilan County " 0.127666666666667
"23" "Yunlin County" 0.165666666666667
