"Area" "Population" "Aged.Population" "Proportion.of.Aged.Population" "Disabled.Aged.Population" "Longterm.Care.Facilities.Beds" "Nursing.Home.Beds" "Veterans.Home.Beds" "Total.Beds" "Disabled.Aged.Beds.of.every.millon.people"
"1" "New Taipei City " 3979208 465909 0.117 59170 11034 6231 1288 18553 3135.5
"2" "Taoyuan City" 2147763 219425 0.102 27867 3704 3892 1346 8942 3208.8
"3" "Tainan City " 1886033 259701 0.138 32982 5951 5381 1091 12423 3766.6
"4" "Yilan County " 457538 67808 0.148 8612 2323 550 0 2873 3336.2
"5" "Changhua County  " 1287146 182962 0.142 23236 3431 3558 810 7799 3356.4
"6" "Pingtung County" 835792 127016 0.152 16131 3376 1675 468 5519 3421.4
"7" "Taitung County" 220802 33060 0.15 4199 730 377 448 1555 3703.6
"8" "Hualien County" 330911 48649 0.147 6178 1183 475 480 2138 3460.4
"9" "Keelung City" 372100 51949 0.14 6598 1908 571 0 2479 3757.5
"10" "Chiayi City" 269874 36268 0.134 4606 1404 1321 0 2725 5916.2
"11" "Chiayi City" 270366 34434 0.127 5647 1412 1262 0 2674 4735.1
"12" "New Taipei City " 3966818 400545 0.101 50869 10733 5695 909 17337 3408.2
"13" "Taichung City" 1884284 237732 0.126 30192 5554 4472 1059 11085 3671.5
"14" "Tainan City " 2778992 332089 0.119 42175 7342 4015 1340 12697 3010.5
"15" "Kaohsiung City" 458777 63438 0.138 8057 2299 510 0 2809 3486.6
"16" "Yilan County " 2058328 191590 0.093 24332 3329 2635 1570 7534 3096.3
"17" "Changhua County  " 1291474 170602 0.132 21666 3622 2635 873 7130 3290.8
"18" "Pingtung County" 847917 118340 0.14 15029 3392 1503 516 5411 3600.3
"19" "Taitung County" 224470 31477 0.14 3998 728 311 448 1487 3719.8
"20" "Hualien County" 333392 45216 0.136 5742 1134 318 500 1952 3399.3
"21" "Keelung City" 373077 46818 0.125 5946 1892 505 0 2397 4031.4
"22" "Chiayi City" 270883 33336 0.123 4234 1431 1226 0 2657 6275.9
